Recipient,Amount,Purpose
"EPAYBUSINESSSOLUTIONS,INC.",$37334,PAYROLL
TRANSAMERICARETIREMENTSOLUTIONS,$2808,EMPLOYEEBENEFIT
DICKINSONWRIGHTPLLC,$12500,LEGALFEE
THEROOSEVELTHOTEL,$115000,EVENTDEPOSIT
CHARLIEPALMERSTEAK,$690,MEETINGEXPENSE
DCHEALTHLINK,$6799,INSURANCE
SIGNATURENEWORLEANS,$7395,TRAVELGROUNDTRANSPORTATION
"YUMASOLUTIONS,INC.",$1033,ITCONSULTING
TRANSAMERICARETIREMENTSOLUTIONS,$3099,EMPLOYEEBENEFIT
BANKOFAMERICA,$42,MERCHANTFEES
"EPAYBUSINESSSOLUTIONS,INC.",$346,PAYROLLFEE
SIRSPEEDY,$1519,EVENTSUPPLIES
DELTAAIRLINES,$725,TRAVELAIRFARE
JOESSTONECRAB,$1180,MEETINGEXPENSE
THEMAYFLOWERHOTEL,$1116,LODGING
DCHEALTHLINK,$4937,INSURANCE
"EPAYBUSINESSSOLUTIONS,INC.",$37322,PAYROLL
LAZPARKING,$620,TRAVELPARKING
MAILCHIMP,$143,NETWORKANDSUPPORT
NEWORLEANSSCHOOLOFCOOKING,$4135,EVENTACTIVITIES
WILDFLOWERS,$1043,EVENTEXPENSE
DELTAFISHHOUSE,$15450,EVENTFOODANDBEVERAGE
CMDI,$500,DATABASESERVICES
"EPAYBUSINESSSOLUTIONS,INC.",$75,PAYROLLFEE
GALATOIRES,$20757,EVENTFOODANDBEVERAGE
FEDEX,$848,POSTAGE
MICHIGANGOP,$2350,REGISTRATIONEXPENSE
AMERICANSECTORCATERING,$59211,EVENTFOODANDBEVERAGE
GAYLORDOPRYLAND,$6875,EVENTDEPOSIT
WAGEWORKS,$25,EMPLOYEEBENEFIT
GRANDRTGGOLF,$1145,EVENTFOODANDBEVERAGE
LOTAEPS,$126,TRAVELPARKING
ANEDOT,$78,PROCESSINGFEES
"EPAYBUSINESSSOLUTIONS,INC.",$37759,PAYROLL
INTEGRATEDMEDIACAMPAIGNSLLC,$14100,DIGITALPRODUCTION
"WEINSTEIN,NICK",$358,REIMBURSEMENTTRAVEL
STATEOFMINNESOTA,$1000,FEE
BONESRESTAURANT,$725,MEETINGEXPENSE
RINGCENTRALINC,$315,NETWORKANDSUPPORT
"WEINSTEIN,NICK",$1274,REIMBURSEMENTTRAVEL
ANEDOT,$53,PROCESSINGFEES
DCHEALTHLINK,$6799,INSURANCE
BANKOFAMERICA,$285,MERCHANTFEES
EDDIEVS,$44778,EVENTFOODANDBEVERAGE
SEAISLANDCOMPANY,$14250,EVENTDEPOSIT
STREGISWASHINGTONDC,$20000,EVENTDEPOSIT
1747PENNSYLVANIAAVENUELP,$9226,RENT
"EPAYBUSINESSSOLUTIONS,INC.",$20699,PAYROLLTAXES
"EPAYBUSINESSSOLUTIONS,INC.",$20737,PAYROLLTAXES
HOTARDCOACHESINC,$7624,TRAVELTRANSPORTATION
AMERICANAIRLINES,$3741,TRAVELAIRFARE
